,Resort Name,Continent,Country,State/Province,URL,Altitude,Easy,Intermediate ,Difficult,Aerial tramway/reversible ropeway,Circulating ropeway/gondola lift,Chairlift,T-bar lift/platter/button lift ,Rope tow/baby lift,People mover/Moving Carpet,Adult,Youth,Child,Currency,Ski resort size ,"Slope offering, variety of runs ",Lifts and cable cars ,Snow reliability ,Slope preparation ,"Access, on-site parking ","Orientation (trail map, information boards, sign-postings) ",Cleanliness and hygiene ,Environmentally friendly ski operation ,Friendliness of staff ,"Mountain restaurants, ski huts, gastronomy ",Après-ski ,Accommodation offering directly at the slopes and lifts ,Families and children ,Beginners ,"Advanced skiers, freeriders ",Snow parks ,Cross-country skiing and trails ,Sunkid Moving Carpet,Combined installation (gondola and chair),People mover,Funicular,Snow caterpillars for Cat-skiing,Cog railway,Helicopter for Heli-skiing,Ski routes
klausberg-skiworld-ahrntal,klausberg-skiworld-ahrntal,Europe,Italy,Trentino-Alto Adige (Trentino-Südtirol),https://www.skiresort.info/ski-resort/klausberg-skiworld-ahrntal/,2510.0,14.0,14.0,5.0,,0.0,0.0,,,0.0,51,0,33,European Euro,3.0,4.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,,,,,,,,
speikboden-skiworld-ahrntal,speikboden-skiworld-ahrntal,Europe,Italy,Trentino-Alto Adige (Trentino-Südtirol),https://www.skiresort.info/ski-resort/speikboden-skiworld-ahrntal/,2400.0,21.8,12.7,5.7,,0.0,0.0,,,0.0,51,0,33,European Euro,3.0,4.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,2.0,5.0,4.0,4.0,4.0,4.0,,,,,,,,
scuol-motta-naluns,scuol-motta-naluns,Europe,Switzerland,Eastern Switzerland,https://www.skiresort.info/ski-resort/scuol-motta-naluns/,2785.0,27.0,32.0,11.0,,0.0,0.0,0.0,,,58,48,30,Swiss Franc,4.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0,5.0,4.0,0.0,,,,,,,
schilthorn-muerrenlauterbrunnen,schilthorn-muerrenlauterbrunnen,Europe,Switzerland,Espace Mittelland,https://www.skiresort.info/ski-resort/schilthorn-muerrenlauterbrunnen/,2970.0,19.0,23.0,12.0,0.0,,0.0,0.0,0.0,,75,60,38,Swiss Franc,3.0,5.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,5.0,5.0,2.0,,,,0.0,,,,
galsterberg-pruggern,galsterberg-pruggern,Europe,Austria,Styria (Steiermark),https://www.skiresort.info/ski-resort/galsterberg-pruggern/,1984.0,4.0,7.0,1.0,,0.0,0.0,0.0,,,53.50,40,27,European Euro,2.2,2.4,2.9,,,,,,,,,,,,,,,,0.0,,,,,,,
paganella-andalo,paganella-andalo,Europe,Italy,Trentino-Alto Adige (Trentino-Südtirol),https://www.skiresort.info/ski-resort/paganella-andalo/,2125.0,11.0,27.0,2.0,,0.0,0.0,,,,52,36,26,European Euro,3.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,5.0,4.0,3.0,2.0,3.0,,,0.0,,,,,
ramsau-am-dachstein-rittisberg,ramsau-am-dachstein-rittisberg,Europe,Austria,Styria (Steiermark),https://www.skiresort.info/ski-resort/ramsau-am-dachstein-rittisberg/,1636.0,5.6,6.3,1.0,,,0.0,0.0,0.0,,41.50,31.50,21,European Euro,2.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,2.0,4.0,5.0,5.0,2.0,2.0,5.0,0.0,,,,,,,
glungezer-tulfes,glungezer-tulfes,Europe,Austria,Tyrol (Tirol),https://www.skiresort.info/ski-resort/glungezer-tulfes/,2304.0,6.5,15.5,1.0,,0.0,0.0,0.0,0.0,0.0,38,30,24.50,European Euro,3.0,3.0,4.0,4.0,5.0,5.0,3.0,5.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,3.0,1.0,3.0,,0.0,,,,,,
monte-bondone,monte-bondone,Europe,Italy,Trentino-Alto Adige (Trentino-Südtirol),https://www.skiresort.info/ski-resort/monte-bondone/,2090.0,4.8,14.0,0.0,,,0.0,,,,44,31,22,European Euro,3.0,3.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,,,0.0,,,,,
san-martino-di-castrozza,san-martino-di-castrozza,Europe,Italy,Trentino-Alto Adige (Trentino-Südtirol),https://www.skiresort.info/ski-resort/san-martino-di-castrozza/,2357.0,16.0,32.0,12.0,0.0,0.0,0.0,0.0,,,53,37,0,European Euro,3.0,4.0,4.0,5.0,5.0,2.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,5.0,4.0,0.0,,0.0,,,,,
