,Resort Name,Continent,Country,State/Province,URL,Altitude,Easy,Intermediate ,Difficult,Aerial tramway/reversible ropeway,Circulating ropeway/gondola lift,Chairlift,T-bar lift/platter/button lift ,Rope tow/baby lift,People mover/Moving Carpet,Adult,Youth,Child,Currency,Ski resort size ,"Slope offering, variety of runs ",Lifts and cable cars ,Snow reliability ,Slope preparation ,"Access, on-site parking ","Orientation (trail map, information boards, sign-postings) ",Cleanliness and hygiene ,Environmentally friendly ski operation ,Friendliness of staff ,"Mountain restaurants, ski huts, gastronomy ",Après-ski ,Accommodation offering directly at the slopes and lifts ,Families and children ,Beginners ,"Advanced skiers, freeriders ",Snow parks ,Cross-country skiing and trails ,Sunkid Moving Carpet,Combined installation (gondola and chair),People mover,Funicular,Snow caterpillars for Cat-skiing,Cog railway,Helicopter for Heli-skiing,Ski routes
lonesome-pine-trails-fort-kent,lonesome-pine-trails-fort-kent,North America,USA,Maine,https://www.skiresort.info/ski-resort/lonesome-pine-trails-fort-kent/,299.0,1.0,1.6,2.0,,,,0.0,0.0,,25,20,0,US Dollar,1.5,1.8,1.9,,,,,,,,,,,,,,,,,,,,,,,
storstenshoejden,storstenshoejden,Europe,Sweden,Central Sweden,https://www.skiresort.info/ski-resort/storstenshoejden/,276.0,2.3,0.6,0.1,,,,0.0,,,305,0,275,Swedish krona,1.5,1.7,2.0,,,,,,,,,,,,,,,,,,0.0,,,,,
ausblick-sussex,ausblick-sussex,North America,USA,Wisconsin,https://www.skiresort.info/ski-resort/ausblick-sussex/,350.0,0.8,0.6,0.0,,,0.0,,0.0,,30,0,0,US Dollar,1.3,1.3,2.6,,,,,,,,,,,,,,,,,,,,,,,
ipponsugi,ipponsugi,Asia,Japan,Honshu,https://www.skiresort.info/ski-resort/ipponsugi/,425.0,0.3,0.1,0.0,,,0.0,,,,4200,0,3200,Japanese Yen,1.1,1.1,3.0,,,,,,,,,,,,,,,,,,,,,,,
bacova-roven-vysna-boca,bacova-roven-vysna-boca,Europe,Slovakia,Žilina (Žilinský kraj),https://www.skiresort.info/ski-resort/bacova-roven-vysna-boca/,1360.0,0.2,1.4,1.4,,,,0.0,,,16,0,12,European Euro,1.5,1.7,2.0,,,,,,,,,,,,,,,,,,,,,,,
sonnenberg-st-andreasberg,sonnenberg-st-andreasberg,Europe,Germany,Central Uplands of Germany (Deutsche Mittelgebirge),https://www.skiresort.info/ski-resort/sonnenberg-st-andreasberg/,856.0,1.4,0.8,1.4,,,,0.0,0.0,,23,17,0,European Euro,1.5,1.8,1.9,,,,,,,,,,,,,,,,,,,,,,,
paltinis,paltinis,Europe,Romania,Sibiu,https://www.skiresort.info/ski-resort/paltinis/,1667.0,0.0,1.6,0.0,,,0.0,0.0,,,100,0,0,Romanian leu,1.3,1.0,2.9,,,,,,,,,,,,,,,,,,,,,,,
les-genevez,les-genevez,Europe,Switzerland,Espace Mittelland,https://www.skiresort.info/ski-resort/les-genevez/,1147.0,2.0,1.5,0.5,,,,0.0,0.0,,18,15,10,Swiss Franc,1.5,1.8,1.9,,,,,,,,,,,,,,,,,,,,,,,
branna,branna,Europe,Czech Republic,Olomouc Region (Olomoucký kraj),https://www.skiresort.info/ski-resort/branna/,750.0,1.1,1.1,0.0,,,0.0,0.0,0.0,,480,0,380,Czech koruna,1.3,1.3,2.6,,,,,,,,,,,,,,,,,,,,,,,
ruhrquelle,ruhrquelle,Europe,Germany,Central Uplands of Germany (Deutsche Mittelgebirge),https://www.skiresort.info/ski-resort/ruhrquelle/,675.0,0.6,0.0,0.0,,,0.0,,,,24,0,17,European Euro,1.2,1.0,3.0,,,,,,,,,,,,,,,,0.0,,,,,,,
slotwiny,slotwiny,Europe,Poland,Lesser Poland (Województwo małopolskie),https://www.skiresort.info/ski-resort/slotwiny/,879.0,3.0,0.0,0.0,,,0.0,0.0,,,95,0,85,Polish zloty,1.5,1.0,2.7,,,,,,,,,,,,,,,,,,,,,,,
ventasso-laghi,ventasso-laghi,Europe,Italy,Emilia-Romagna,https://www.skiresort.info/ski-resort/ventasso-laghi/,1510.0,0.3,2.7,0.5,,,,0.0,,,20,0,16,European Euro,1.5,1.7,2.0,,,,,,,,,,,,,,,,,,0.0,,,,,
careggine-alpi-apuane-monte-la-cima,careggine-alpi-apuane-monte-la-cima,Europe,Italy,Tuscany (Toscana),https://www.skiresort.info/ski-resort/careggine-alpi-apuane-monte-la-cima/,1500.0,2.0,2.0,0.0,,,,0.0,,,20,0,15,European Euro,1.6,1.6,2.0,,,,,,,,,,,,,,,,,,,,,,,
hirogawara,hirogawara,Asia,Japan,Honshu,https://www.skiresort.info/ski-resort/hirogawara/,617.0,0.9,0.0,0.0,,,0.0,,,,3000,0,2000,Japanese Yen,1.2,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
le-desert-dentremont,le-desert-dentremont,Europe,France,Auvergne-Rhône-Alpes,https://www.skiresort.info/ski-resort/le-desert-dentremont/,1400.0,2.0,1.0,0.5,,,,0.0,0.0,,10,0,8,European Euro,1.5,1.8,1.9,,,,,,,,,,,,,,,,,,,,,,,
miroslav-lipova-lazne,miroslav-lipova-lazne,Europe,Czech Republic,Olomouc Region (Olomoucký kraj),https://www.skiresort.info/ski-resort/miroslav-lipova-lazne/,750.0,2.1,0.8,0.0,,,0.0,0.0,,,550,0,410,Czech koruna,1.3,1.3,2.6,,,,,,,,,,,,,,,,,,,,,,,
suche,suche,Europe,Poland,Lesser Poland (Województwo małopolskie),https://www.skiresort.info/ski-resort/suche/,937.0,2.0,0.0,0.0,,,0.0,0.0,0.0,,104,0,95,Polish zloty,1.3,1.0,2.9,,,,,,,,,,,,,,,,,,,,,,,
hochschwarzeck-ramsau-bei-berchtesgaden,hochschwarzeck-ramsau-bei-berchtesgaden,Europe,Germany,Bavaria (Bayern),https://www.skiresort.info/ski-resort/hochschwarzeck-ramsau-bei-berchtesgaden/,1385.0,4.2,0.0,0.0,,,0.0,0.0,,,26,15,0,European Euro,1.5,1.0,2.7,,,,,,,,,,,,,,,,,,,,,,,
kappruet,kappruet,Europe,Sweden,Northern Sweden (Norrland),https://www.skiresort.info/ski-resort/kappruet/,840.0,2.7,1.0,0.3,,,,0.0,,,380,285,0,Swedish krona,1.5,1.7,2.0,,,,,,,,,,,,,,,,,,,,,,,
lispach-la-bresse,lispach-la-bresse,Europe,France,Grand-Est,https://www.skiresort.info/ski-resort/lispach-la-bresse/,1115.0,3.0,1.0,0.2,,,,0.0,,,17.50,16,13,European Euro,1.5,1.7,2.0,,,,,,,,,,,,,,,,,,,,,,,
fischenthal-aurueti-oberegg,fischenthal-aurueti-oberegg,Europe,Switzerland,Zürich,https://www.skiresort.info/ski-resort/fischenthal-aurueti-oberegg/,1052.0,1.7,1.5,0.8,,,,0.0,0.0,,29,0,20,Swiss Franc,1.5,1.8,1.9,,,,,,,,,,,,,,,,,,,,,,,
tegelberg-schwangau,tegelberg-schwangau,Europe,Germany,Bavaria (Bayern),https://www.skiresort.info/ski-resort/tegelberg-schwangau/,1730.0,1.9,1.0,0.0,0.0,,,0.0,,,29,28,15,European Euro,1.4,1.4,2.4,,,,,,,,,,,,,,,,,,,,,,,
hochlecken-neukirchen-altmuenster,hochlecken-neukirchen-altmuenster,Europe,Austria,Upper Austria (Oberösterreich),https://www.skiresort.info/ski-resort/hochlecken-neukirchen-altmuenster/,1150.0,2.0,1.0,1.0,,,,0.0,0.0,,18,0,13,European Euro,1.5,1.9,1.8,,,,,,,,,,,,,,,,,,,,,,,
ballon-dalsace,ballon-dalsace,Europe,France,Grand-Est,https://www.skiresort.info/ski-resort/ballon-dalsace/,1231.0,2.1,1.8,0.8,,,,0.0,0.0,,19.50,0,16.50,European Euro,1.5,1.8,1.9,,,,,,,,,,,,,,,,,,,,,,,
blanche-takayama,blanche-takayama,Asia,Japan,Honshu,https://www.skiresort.info/ski-resort/blanche-takayama/,1788.0,,,,,,,,,,4300,0,2600,Japanese Yen,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
kidoike,kidoike,Asia,Japan,Honshu,https://www.skiresort.info/ski-resort/kidoike/,1649.0,0.7,0.0,0.0,,,0.0,,,,6000,5100,3000,Japanese Yen,1.2,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
eschenberg-niedersfeld,eschenberg-niedersfeld,Europe,Germany,Central Uplands of Germany (Deutsche Mittelgebirge),https://www.skiresort.info/ski-resort/eschenberg-niedersfeld/,725.0,1.2,2.4,0.2,,,,0.0,,,20,0,15,European Euro,1.5,1.7,2.0,,,,,,,,,,,,,,,,,,,,,,,
ozolkalns,ozolkalns,Europe,Latvia,Amata,https://www.skiresort.info/ski-resort/ozolkalns/,110.0,1.5,1.0,0.0,,,0.0,0.0,0.0,,0,0,0,-,1.3,1.3,2.6,,,,,,,,,,,,,,,,,,,,,,,
yokote-park,yokote-park,Asia,Japan,Honshu,https://www.skiresort.info/ski-resort/yokote-park/,169.0,1.0,0.0,0.0,,,0.0,,0.0,,0,0,0,-,1.3,1.0,2.9,,,,,,,,,,,,,,,,,,,,,,,
vynnyky,vynnyky,Europe,Ukraine,Lviv,https://www.skiresort.info/ski-resort/vynnyky/,400.0,0.6,0.0,0.0,,,0.0,,,,0,0,0,-,1.2,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
biryuzovaya-katun,biryuzovaya-katun,Russia,Siberia,,https://www.skiresort.info/ski-resort/biryuzovaya-katun/,720.0,1.9,0.9,0.7,,,,0.0,0.0,,0,0,0,-,1.5,1.8,1.9,,,,,,,,,,,,,,,,,,,,,,,
denton-hill-state-park,denton-hill-state-park,North America,USA,Pennsylvania,https://www.skiresort.info/ski-resort/denton-hill-state-park/,750.0,4.0,2.0,2.0,,,,,,,0,0,0,-,,,,,,,,,,,,,,,,,,,,,,,,,,
altinoran-ankara,altinoran-ankara,Asia,Turkey,Central Anatolia,https://www.skiresort.info/ski-resort/altinoran-ankara/,1010.0,0.1,0.2,0.0,,,0.0,,,,0,0,0,-,1.1,1.1,3.0,,,,,,,,,,,,,,,,,,,,,,,
igrista-vlasenica,igrista-vlasenica,Europe,Bosnia and Herzegovina,Republika Srpska,https://www.skiresort.info/ski-resort/igrista-vlasenica/,1350.0,3.0,2.0,0.0,,,,0.0,0.0,,0,0,0,-,1.7,1.7,1.8,,,,,,,,,,,,,,,,,,,,,,,
vorderthal-skilift-waegital,vorderthal-skilift-waegital,Europe,Switzerland,Central Switzerland,https://www.skiresort.info/ski-resort/vorderthal-skilift-waegital/,1260.0,2.0,1.0,0.0,,,,0.0,,,0,0,0,-,1.6,1.6,2.0,,,,,,,,,,,,,,,,,,,,,,,
golebiewski-mikolajki,golebiewski-mikolajki,Europe,Poland,Warmian-Masuria (Województwo warmińsko-mazurskie),https://www.skiresort.info/ski-resort/golebiewski-mikolajki/,155.0,0.7,0.0,0.0,,,0.0,,,,0,0,0,-,1.2,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
mont-biencourt,mont-biencourt,North America,Canada,Quebec,https://www.skiresort.info/ski-resort/mont-biencourt/,485.0,2.0,3.0,3.0,,,,,,,0,0,0,-,,,,,,,,,,,,,,,,,,,,,,,,,,
geihoku-kokusai,geihoku-kokusai,Asia,Japan,Honshu,https://www.skiresort.info/ski-resort/geihoku-kokusai/,1126.0,4.0,5.5,0.5,,,,,,,0,0,0,-,,,,,,,,,,,,,,,,,,,,,,,,,,
volen-yakhroma,volen-yakhroma,Russia,Central Russia,Moscow,https://www.skiresort.info/ski-resort/volen-yakhroma/,190.0,3.0,0.7,0.3,,,,0.0,,,0,0,0,-,1.5,1.7,2.0,,,,,,,,,,,,,,,,,,0.0,,,,,
xiling-snow-mountain,xiling-snow-mountain,Asia,China,Sichuan,https://www.skiresort.info/ski-resort/xiling-snow-mountain/,2400.0,,,,,,,,,,0,0,0,-,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
sucha-dolina-kosarzyska-piwniczna-zdroj,sucha-dolina-kosarzyska-piwniczna-zdroj,Europe,Poland,Lesser Poland (Województwo małopolskie),https://www.skiresort.info/ski-resort/sucha-dolina-kosarzyska-piwniczna-zdroj/,820.0,,,,,,,,,,0,0,0,-,,,,,,,,,,,,,,,,,,,,,,,,,,
itoshiro,itoshiro,Asia,Japan,Honshu,https://www.skiresort.info/ski-resort/itoshiro/,850.0,2.0,3.0,2.0,,,,,,,0,0,0,-,,,,,,,,,,,,,,,,,,,,,,,,,,
woodward-park-city,woodward-park-city,North America,USA,Utah,https://www.skiresort.info/ski-resort/woodward-park-city/,2076.0,0.3,0.2,0.0,,,0.0,,,,0,0,0,-,1.1,1.1,3.0,,,,,,,,,,,,,,,,,,0.0,,,,,
noboribetsu-kogen-sanraiba,noboribetsu-kogen-sanraiba,Asia,Japan,Hokkaido,https://www.skiresort.info/ski-resort/noboribetsu-kogen-sanraiba/,750.0,3.0,2.0,2.0,,,,,,,0,0,0,-,,,,,,,,,,,,,,,,,,,,,,,,,,
ravensberg-bad-sachsa,ravensberg-bad-sachsa,Europe,Germany,Central Uplands of Germany (Deutsche Mittelgebirge),https://www.skiresort.info/ski-resort/ravensberg-bad-sachsa/,660.0,1.7,0.5,0.8,,,,0.0,0.0,,18,0,14,European Euro,1.5,1.8,1.9,,,,,,,,,,,,,,,,,,,,,,,
hlubocky,hlubocky,Europe,Czech Republic,Olomouc Region (Olomoucký kraj),https://www.skiresort.info/ski-resort/hlubocky/,374.0,0.7,1.0,0.0,,,0.0,0.0,0.0,,500,460,400,Czech koruna,1.3,1.3,2.6,,,,,,,,,,,,,,,,0.0,,,,,,,
debowiec-bielsko-biala,debowiec-bielsko-biala,Europe,Poland,Silesia (Województwo śląskie),https://www.skiresort.info/ski-resort/debowiec-bielsko-biala/,525.0,0.8,0.0,0.0,,,0.0,,0.0,,110,0,93,Polish zloty,1.2,1.0,2.9,,,,,,,,,,,,,,,,,,,,,,,
henryk,henryk,Europe,Poland,Lesser Poland (Województwo małopolskie),https://www.skiresort.info/ski-resort/henryk/,670.0,1.8,0.0,0.0,,,0.0,0.0,,,80,0,75,Polish zloty,1.3,1.0,2.9,,,,,,,,,,,,,,,,,,0.0,,,,,
cottonwood-butte,cottonwood-butte,North America,USA,Idaho,https://www.skiresort.info/ski-resort/cottonwood-butte/,1707.0,0.1,2.2,1.8,,,,0.0,0.0,,20,0,0,US Dollar,1.5,1.7,2.0,,,,,,,,,,,,,,,,,,,,,,,
beskid-spytkowice,beskid-spytkowice,Europe,Poland,Lesser Poland (Województwo małopolskie),https://www.skiresort.info/ski-resort/beskid-spytkowice/,730.0,2.4,0.0,0.0,,,0.0,0.0,,,105,0,95,Polish zloty,1.3,1.0,2.9,,,,,,,,,,,,,,,,,,,,,,,
furtnerlifts-rohr-im-gebirge,furtnerlifts-rohr-im-gebirge,Europe,Austria,Lower Austria (Niederösterreich),https://www.skiresort.info/ski-resort/furtnerlifts-rohr-im-gebirge/,927.0,1.5,1.5,0.9,,,,0.0,0.0,,24,0,15,European Euro,1.5,1.8,1.9,,,,,,,,,,,,,,,,,,,,,,,
tyagatchevs-mountain-shukolovo,tyagatchevs-mountain-shukolovo,Russia,Central Russia,Moscow,https://www.skiresort.info/ski-resort/tyagatchevs-mountain-shukolovo/,200.0,2.0,1.0,0.0,,,0.0,0.0,,,0,0,0,-,1.5,1.5,2.2,,,,,,,,,,,,,,,,,,,,,,,
ohta-park,ohta-park,Russia,Northwest Russia,,https://www.skiresort.info/ski-resort/ohta-park/,100.0,2.5,0.0,0.0,,,0.0,0.0,,,0,0,0,-,1.3,1.0,2.8,,,,,,,,,,,,,,,,0.0,,,,,,,
rotarun,rotarun,North America,USA,Idaho,https://www.skiresort.info/ski-resort/rotarun/,1790.0,1.1,2.0,1.5,,,,0.0,0.0,,0,0,0,-,1.5,1.8,1.9,,,,,,,,,,,,,,,,,,,,,,,
piekna-gora-goldap,piekna-gora-goldap,Europe,Poland,Warmian-Masuria (Województwo warmińsko-mazurskie),https://www.skiresort.info/ski-resort/piekna-gora-goldap/,275.0,1.9,0.4,0.0,,,0.0,0.0,0.0,,0,0,0,-,1.3,1.3,2.6,,,,,,,,,,,,,,,,,,,,,,,
jedlova,jedlova,Europe,Czech Republic,Ústí nad Labem Region (Ústecký kraj),https://www.skiresort.info/ski-resort/jedlova/,774.0,2.5,2.1,0.2,,,,0.0,0.0,,0,0,0,-,1.5,1.7,2.0,,,,,,,,,,,,,,,,,,,,,,,
maidan,maidan,Europe,Ukraine,Lviv,https://www.skiresort.info/ski-resort/maidan/,367.0,0.0,0.5,0.0,,,0.0,,,,550,0,0,Ukrainian hryvnia,1.1,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
passo-fedaia-pian-dei-fiacconi-marmolada,passo-fedaia-pian-dei-fiacconi-marmolada,Europe,Italy,Trentino-Alto Adige (Trentino-Südtirol),https://www.skiresort.info/ski-resort/passo-fedaia-pian-dei-fiacconi-marmolada/,2650.0,0.0,5.5,0.0,,0.0,,,,,59,41,0,European Euro,1.8,1.3,2.0,,,,,,,,,,,,,,,,,,,,,,,
orsa-groenklitt,orsa-groenklitt,Europe,Sweden,Central Sweden,https://www.skiresort.info/ski-resort/orsa-groenklitt/,590.0,4.0,2.0,1.0,,,,,,,425,0,335,Swedish krona,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
tukino,tukino,Australia and Oceania,New Zealand,North Island,https://www.skiresort.info/ski-resort/tukino/,2020.0,0.6,4.9,0.6,,,,,0.0,,75,55,40,New Zealand Dollar,1.7,2.0,1.4,,,,,,,,,,,,,,,,,,,,0.0,,,
sapphire-valley,sapphire-valley,North America,USA,North Carolina,https://www.skiresort.info/ski-resort/sapphire-valley/,1005.0,0.5,0.0,0.0,,,0.0,,,,45,0,28,US Dollar,1.1,1.0,3.0,,,,,,,,,,,,,,,,0.0,,,,,,,
pfaender-bregenz,pfaender-bregenz,Europe,Austria,Vorarlberg,https://www.skiresort.info/ski-resort/pfaender-bregenz/,1064.0,3.0,0.0,0.0,0.0,,,0.0,,,20.30,16.60,12.20,European Euro,1.6,1.1,2.4,,,,,,,,,,,,,,,,,,,,,,,
muica,muica,Asia,Japan,Honshu,https://www.skiresort.info/ski-resort/muica/,743.0,3.8,3.2,1.4,,,,,,,3900,0,2000,Japanese Yen,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
sayama,sayama,Asia,Japan,Honshu,https://www.skiresort.info/ski-resort/sayama/,144.0,0.3,0.0,0.0,,,0.0,,,,4100,0,3300,Japanese Yen,1.1,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
toggenburg-ski-center,toggenburg-ski-center,North America,USA,New York,https://www.skiresort.info/ski-resort/toggenburg-ski-center/,543.0,3.2,2.0,3.1,,,,,,,55,0,45,US Dollar,,,,,,,,,,,,,,,,,,,,,,,,,,
ski-mountain-park-sao-roque,ski-mountain-park-sao-roque,South America,Brazil,São Paulo,https://www.skiresort.info/ski-resort/ski-mountain-park-sao-roque/,1230.0,0.3,0.0,0.0,,,0.0,,,,80,0,0,unknown,1.1,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
mt-holly,mt-holly,North America,USA,Michigan,https://www.skiresort.info/ski-resort/mt-holly/,380.0,1.0,2.5,3.5,,,,,,,60,0,0,US Dollar,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
abashiri-lake-view-resort,abashiri-lake-view-resort,Asia,Japan,Hokkaido,https://www.skiresort.info/ski-resort/abashiri-lake-view-resort/,205.0,2.0,4.0,1.0,,,,,,,2940,0,1680,Japanese Yen,,,,,,,,,,,,,,,,,,,,,,,,,,
saint-raymond,saint-raymond,North America,Canada,Quebec,https://www.skiresort.info/ski-resort/saint-raymond/,130.0,5.0,2.0,1.0,,,,,,,31.50,0,26.50,Canadian Dollar,,,,,,,,,,,,,,,,,,,,,,,,,,
kamienicaboleslawow,kamienicaboleslawow,Europe,Poland,Lower Silesia (Województwo dolnośląskie),https://www.skiresort.info/ski-resort/kamienicaboleslawow/,699.0,1.1,0.4,0.0,,,0.0,0.0,0.0,,70,0,60,Polish zloty,1.3,1.3,2.5,,,,,,,,,,,,,,,,,,,,,,,
krahule,krahule,Europe,Slovakia,Banská Bystrica (Banskobystrický kraj),https://www.skiresort.info/ski-resort/krahule/,1056.0,0.9,1.8,0.0,,,0.0,0.0,,,24,0,18,European Euro,1.3,1.3,2.5,,,,,,,,,,,,,,,,,,,,,,,
awakino,awakino,Australia and Oceania,New Zealand,South Island,https://www.skiresort.info/ski-resort/awakino/,1880.0,0.5,1.5,3.0,,,,,0.0,,55,45,30,New Zealand Dollar,1.7,2.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
faqra,faqra,Asia,Lebanon,Mount Lebanon,https://www.skiresort.info/ski-resort/faqra/,1975.0,2.0,4.0,1.0,,,,,,,60400,0,0,Lebanese pound,,,,,,,,,,,,,,,,,,,,,,,,,,
silverton-mountain,silverton-mountain,North America,USA,Colorado,https://www.skiresort.info/ski-resort/silverton-mountain/,3790.0,,,,,,0.0,,,,249,0,0,US Dollar,,,,,,,,,,,,,,,,,,,,,,,0.0,,,100.0
iasi,iasi,Europe,Romania,Iași,https://www.skiresort.info/ski-resort/iasi/,120.0,0.5,0.0,0.0,,,0.0,,,,0,0,0,-,1.1,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
maarianrinteet,maarianrinteet,Europe,Finland,East Finland (Pohjois- ja Itä-Suomi),https://www.skiresort.info/ski-resort/maarianrinteet/,240.0,3.0,4.0,1.0,,,,,,,0,0,0,-,,,,,,,,,,,,,,,,,,,,,,,,,,
nobeyama,nobeyama,Asia,Japan,Honshu,https://www.skiresort.info/ski-resort/nobeyama/,1610.0,3.0,4.0,1.0,,,,,,,0,0,0,-,,,,,,,,,,,,,,,,,,,,,,,,,,
kerenzerberg-filzbach,kerenzerberg-filzbach,Europe,Switzerland,Eastern Switzerland,https://www.skiresort.info/ski-resort/kerenzerberg-filzbach/,1283.0,,,,,,0.0,,,,35,0,25,Swiss Franc,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
telegraf-kielce,telegraf-kielce,Europe,Poland,Holy Cross (Województwo świętokrzyskie),https://www.skiresort.info/ski-resort/telegraf-kielce/,406.0,0.0,0.5,0.0,,,0.0,,,,0,0,0,-,1.1,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
omoshiroyama,omoshiroyama,Asia,Japan,Honshu,https://www.skiresort.info/ski-resort/omoshiroyama/,608.0,0.0,0.5,0.0,,,0.0,,,,0,0,0,-,1.1,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
shizuokashi-riverwell-ikawa,shizuokashi-riverwell-ikawa,Asia,Japan,Honshu,https://www.skiresort.info/ski-resort/shizuokashi-riverwell-ikawa/,1441.0,0.3,0.0,0.0,,,0.0,,,,0,0,0,-,1.1,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
haldigrat,haldigrat,Europe,Switzerland,Central Switzerland,https://www.skiresort.info/ski-resort/haldigrat/,1937.0,,,,,,0.0,,,,0,0,0,-,,,,,,,,,,,,,,,,,,,,,,,,,,
le-tourchet,le-tourchet,Europe,France,Auvergne-Rhône-Alpes,https://www.skiresort.info/ski-resort/le-tourchet/,1069.0,0.6,0.0,0.0,,,,0.0,,,18,0,0,European Euro,1.0,1.0,2.0,3.0,4.0,5.0,1.0,3.0,4.0,3.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,,,,,,,,
halde-westerheim,halde-westerheim,Europe,Germany,Baden-Württemberg,https://www.skiresort.info/ski-resort/halde-westerheim/,820.0,2.0,0.0,0.0,,,,0.0,,,17,0,14,European Euro,1.0,1.0,2.0,1.0,3.0,5.0,2.0,4.0,4.0,4.0,2.0,1.0,1.0,3.0,4.0,1.0,1.0,3.0,,,,,,,,
hirtenteich-essingen-lauterburgaalen,hirtenteich-essingen-lauterburgaalen,Europe,Germany,Baden-Württemberg,https://www.skiresort.info/ski-resort/hirtenteich-essingen-lauterburgaalen/,690.0,2.5,1.5,0.0,,,,0.0,0.0,,20,16,12,European Euro,1.0,2.0,2.0,1.0,3.0,4.0,2.0,4.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,,,,,,,,
jachymov-stred,jachymov-stred,Europe,Czech Republic,Karlovy Vary Region (Karlovarský kraj),https://www.skiresort.info/ski-resort/jachymov-stred/,890.0,1.3,0.9,0.7,,,,0.0,,,0,0,0,-,1.0,3.0,2.0,2.0,4.0,4.0,1.0,3.0,3.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,,,,,,,,
cherkassy-vodyaniki,cherkassy-vodyaniki,Europe,Ukraine,,https://www.skiresort.info/ski-resort/cherkassy-vodyaniki/,215.0,1.0,0.0,0.0,,,0.0,0.0,,,480,0,0,Ukrainian hryvnia,1.3,1.0,2.8,,,,,,,,,,,,,,,,,,,,,,,
seebodenalp-kuessnacht,seebodenalp-kuessnacht,Europe,Switzerland,Central Switzerland,https://www.skiresort.info/ski-resort/seebodenalp-kuessnacht/,1225.0,2.0,0.5,0.0,0.0,,,0.0,0.0,,12,0,9,Swiss Franc,1.3,1.3,2.4,,,,,,,,,,,,,,,,,,,,,,,
bruesti-attinghausen,bruesti-attinghausen,Europe,Switzerland,Central Switzerland,https://www.skiresort.info/ski-resort/bruesti-attinghausen/,1593.0,1.0,0.5,0.0,0.0,,,0.0,,,22,0,18,Swiss Franc,1.3,1.3,2.5,,,,,,,,,,,,,,,,,,,,,,,
malinovka,malinovka,Russia,Northwest Russia,,https://www.skiresort.info/ski-resort/malinovka/,165.0,1.1,0.0,0.0,,,0.0,0.0,,,0,0,0,-,1.3,1.0,2.8,,,,,,,,,,,,,,,,,,,,,,,
gampluet,gampluet,Europe,Switzerland,Eastern Switzerland,https://www.skiresort.info/ski-resort/gampluet/,1357.0,0.3,1.7,0.0,0.0,,,,0.0,,0,0,0,-,1.3,1.3,2.4,,,,,,,,,,,,,,,,,,,,,,,
yakurai,yakurai,Asia,Japan,Honshu,https://www.skiresort.info/ski-resort/yakurai/,327.0,0.6,0.0,0.0,,,0.0,,0.0,,0,0,0,-,1.2,1.0,2.9,,,,,,,,,,,,,,,,,,,,,,,
blomberg-bad-toelzwackersberg,blomberg-bad-toelzwackersberg,Europe,Germany,Bavaria (Bayern),https://www.skiresort.info/ski-resort/blomberg-bad-toelzwackersberg/,1236.0,,,,,,0.0,0.0,,,26,0,16,European Euro,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
zlatar,zlatar,Europe,Serbia,Serbia-South,https://www.skiresort.info/ski-resort/zlatar/,1541.0,0.8,0.0,0.0,,,0.0,0.0,,,0,0,0,-,1.2,1.0,2.9,,,,,,,,,,,,,,,,,,,,,,,
tau-samaly,tau-samaly,Asia,Kazakhstan,,https://www.skiresort.info/ski-resort/tau-samaly/,1589.0,1.9,0.0,0.0,,,0.0,0.0,,,0,0,0,-,1.3,1.0,2.7,,,,,,,,,,,,,,,,,,,,,,,
savalen,savalen,Europe,Norway,Hedmark,https://www.skiresort.info/ski-resort/savalen/,933.0,1.9,2.2,0.0,,,,0.0,,,320,0,270,Norwegian krone,1.5,1.5,2.0,,,,,,,,,,,,,,,,,,0.0,,,,,
tindastoll-saudarkrokur,tindastoll-saudarkrokur,Europe,Iceland,Northwest Iceland,https://www.skiresort.info/ski-resort/tindastoll-saudarkrokur/,918.0,0.9,2.8,0.0,,,,0.0,,,4000,0,1500,Icelandic krona,1.5,1.5,2.0,,,,,,,,,,,,,,,,0.0,,,,,,,
