Resort Name,Continent,Country,State/Province,URL,Altitude,Easy,Intermediate ,Difficult,Aerial tramway/reversible ropeway,Circulating ropeway/gondola lift,Chairlift,T-bar lift/platter/button lift ,Rope tow/baby lift,People mover/Moving Carpet,Adult,Youth,Child,Currency,Ski resort size ,"Slope offering, variety of runs ",Lifts and cable cars ,Snow reliability ,Slope preparation ,"Access, on-site parking ","Orientation (trail map, information boards, sign-postings) ",Cleanliness and hygiene ,Environmentally friendly ski operation ,Friendliness of staff ,"Mountain restaurants, ski huts, gastronomy ",Apr̬s-ski ,Accommodation offering directly at the slopes and lifts ,Families and children ,Beginners ,"Advanced skiers, freeriders ",Snow parks ,Cross-country skiing and trails ,Sunkid Moving Carpet,Combined installation (gondola and chair),People mover,Funicular,Snow caterpillars for Cat-skiing,Cog railway,Helicopter for Heli-skiing,Ski routes,Total Skiable Distance
bosco-gurin-grossalp,Europe,Switzerland,Ticino,https://www.skiresort.info/ski-resort/bosco-gurin-grossalp/,2400.0,1.0,25.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,35.0,25.0,Swiss Franc,2.8,3.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
mitsumatakaguratashiro-mt-naeba,Asia,Japan,Honshu,https://www.skiresort.info/ski-resort/mitsumatakaguratashiro-mt-naeba/,1845.0,7.5,8.8,8.7,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,4600.0,0.0,Japanese Yen,2.7,3.1,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
gunstock,North America,USA,New Hampshire,https://www.skiresort.info/ski-resort/gunstock/,690.0,5.0,25.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,72.0,US Dollar,2.9,3.2,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0
uludag-bursa,Asia,Turkey,Marmara Region (Marmara B̦lgesi),https://www.skiresort.info/ski-resort/uludag-bursa/,2322.0,10.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,0.0,100.0,Turkish lira,2.7,3.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0
donner-ski-ranch,North America,USA,Western United States,https://www.skiresort.info/ski-resort/donner-ski-ranch/,2371.0,13.0,26.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,79.0,49.0,US Dollar,3.1,3.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0
nara-leontica,Europe,Switzerland,Ticino,https://www.skiresort.info/ski-resort/nara-leontica/,2123.0,10.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,30.0,0.0,Swiss Franc,2.9,3.2,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
genting-resort-secret-garden,Asia,China,Hebei,https://www.skiresort.info/ski-resort/genting-resort-secret-garden/,2100.0,3.3,7.4,5.3,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,Chinese Yuan,2.3,2.6,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
praz-de-lyssommand-taningesmieussy,Europe,France,Auvergne-Rh̫ne-Alpes,https://www.skiresort.info/ski-resort/praz-de-lyssommand-taningesmieussy/,1966.0,29.0,20.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,24.0,European Euro,3.3,3.6,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0
june-mountain,North America,USA,California,https://www.skiresort.info/ski-resort/june-mountain/,3075.0,2.1,12.9,20.7,0.0,0.0,0.0,0.0,0.0,0.0,159.0,130.0,0.0,US Dollar,2.9,3.1,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.7
mythenregion,Europe,Switzerland,Central Switzerland,https://www.skiresort.info/ski-resort/mythenregion/,1593.0,18.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,42.0,31.0,Swiss Franc,3.2,3.4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
